_componentProfile,resourceClass,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
AnnotatedCorpusProfile-DLU,"","","",3,1,"TST-Centrale |3|"
BatImageBundle,"","","",11,1,"MPI corpora : Neurogenetics of Vocal Communication |11|"
CRM,"","","",95,1,"Meertens collection: CRM |95|"
CRMCollection,"","","",1,1,"Meertens collection: CRM |1|"
CenterProfile,"","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
CommunicationProfile,"","","",27,1,"Hamburger Zentrum für Sprachkorpora (HZSK) |27|"
Communication_Recording,"","","",398,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |398|"
Communication_Transcript,"","","",399,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |399|"
CorrespondenceHistorical,"","","",9,1,"CKCC |9|"
DGDCorpus,"","","",17,1,"AGD |17|"
DGDEvent,"","","",3369,1,"AGD |3369|"
DIDDD,"","","",1,1,"Meertens Collection: Diversity in Dutch DP Design (DiDDD) |1|"
DIDDD_sub_location,"","","",333,1,"Meertens Collection: Diversity in Dutch DP Design (DiDDD) |333|"
DcmiTerms,"","","",266,2,"Nederlands Instituut voor Beeld en Geluid Academia collectie |1| # Tübingen Language Resources |265|"
DiaryCollection,"","","",59,1,"Meertens Collections - NDA |59|"
Dictionary,"lexicalResource","","",3,3,"Berliner Wendekorpus |1| # Berliner Wendekorpus (Quellen) |1| # Digitales Wörterbuch der deutschen Sprache (DWDS) |1|"
DiscAn_Case,"","","",1456,1,"TLA: DiscAn |1456|"
DiscAn_Project,"","","",1,1,"TLA: DiscAn |1|"
DiscAn_TextCorpus,"text;corpus","","",4,1,"TLA: DiscAn |4|"
DynaSAND_sub_location,"","","",267,1,"Meertens Collection: Dynamische Syntactische Atlas van de Nederlandse Dialecten (DynaSAND) |267|"
Etstoel,"","","",998,1,"Meertens collection: Etstoel |998|"
EtstoelCollection,"","","",1,1,"Meertens collection: Etstoel |1|"
ExperimentProfile,"","","",4,1,"Tübingen Language Resources |4|"
Fesli,"","","",55,1,"Fesli |55|"
FesliCollection,"","","",1,1,"Fesli |1|"
GBA-derived,"","","",1,1,"Meertens Collection: GBA-derived |1|"
GBA-derived_sub_coroparea,"structuredDataset","","",40,1,"Meertens Collection: GBA-derived - sub COROP area |40|"
GBA-derived_sub_dialectarea,"structuredDataset","","",24,1,"Meertens Collection: GBA-derived - sub dialectarea |24|"
GBA-derived_sub_municipality,"structuredDataset","","",443,1,"Meertens Collection: GBA-derived - sub municipality |443|"
GBA-derived_sub_province,"structuredDataset","","",12,1,"Meertens Collection: GBA-derived - sub province |12|"
GTRP,"text;audio","","",1,1,"Meertens Collection: Dynamische Fonologische en Morfologische Atlas van de Nederlandse Dialecten (GTRP) |1|"
GTRP_sub_location,"structuredDataset","","",613,1,"Meertens Collection: Dynamische Fonologische en Morfologische Atlas van de Nederlandse Dialecten (GTRP) |613|"
IDSAGD_Corpus,"structuredDataset","not-applicable","various resource types possible",3,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |3|"
IDSAGD_Event,"structuredDataset","","documentation of audio recording",8108,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |8108|"
IDSAGD_Speaker,"structuredDataset","","documentation of speaker in audio recording",8509,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |8509|"
JacobsstafVerhaal,"text","","mimetype is: application/pdf",583,1,"Meertens collections: PILNAR |583|"
LCC_CorpusProfile,"text;corpus","","",2,1,"Leipzig Corpora Collection |2|"
LCC_DataProviderProfile,"text","","",41,1,"Leipzig Corpora Collection |41|"
LESLLA,"audio;annotation","","",225,1,"CLARIN NL : leslla |225|"
LINDAT_CLARIN,"","not-applicable","various resource types",92,4,"CLARIN.SI data & tools |2| # CLARINO Bergen Centre |1| # LINDAT / CLARIN Data & Tools |52|"
LexicalResourceProfile,"lexicalResource","","",14,5,"CLARIN Centres |4| # Dictionary Gate |1| # IMS, CLARIN-D Centre, University of Stuttgart |2|"
MeertensCollection,"collection","","",570,1,"Meertens Collections |570|"
OLAC-DcmiTerms,"","not-applicable","various resource types",39334,26,"A Digital Archive of Research Papers in Computational Linguistics |3280| # ATILF Resources |7| # African Language Materials Archive |53|"
OLAC-DcmiTerms-ref,"","not-applicable","various resource types",226,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |226|"
OLAC-DcmiTerms-ref-DWR,"","","",250,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |250|"
OralHistoryInterviewDANS,"audio;text","","unnamed records, only surfcontext login",957,1,"CLARIN Centres |957|"
Performer,"","not-applicable","unnamed records, resource is some info on a performer",1530,1,"Meertens collection: Liederenbank |1530|"
PhotoSinger,"","not-applicable","resource is some info on an artist",38,1,"Meertens collection: Liederenbank |38|"
ReadingReport,"","not-applicable","unnamed records, resource type unclear",36,1,"Meertens Collections - NDA |36|"
SL-IPROSLA,"session","","this is a sign language corpus, but i can only see metadata",976,1,"TLA: IPROSLA sign language acquisition |976|"
SL-TLA,"","not-applicable","unnamed records",98,1,"COST elicitationdata |98|"
Song,"audio;text;image","","probably there needs to be a value for songs",155403,1,"Meertens collection: Liederenbank |155403|"
SongAudio,"audio","","broken links",7961,1,"Meertens collection: Liederenbank |7961|"
SongScan,"image","","",28448,1,"Meertens collection: Liederenbank |28448|"
Soundbites-recording,"","not-applicable","some audio only, some images too",4386,1,"Meertens Collection: Soundbites |4386|"
Source,"image","","scans",16519,1,"Meertens collection: Liederenbank |16519|"
SourceScan,"image","","",21256,1,"Meertens collection: Liederenbank |21256|"
SpeechCorpus,"","not-applicable","this collection is not among the results",1,1,"TuniCo - Linguistic Dynamics in the Greater Tunis Area |1|"
SpokenCorpusProfile,"","not-applicable","we rather fix",12,2,"HZSK: SFB 632 |4| # Hamburger Zentrum für Sprachkorpora (HZSK) |8|"
SymbolicMusicNotation,"image","","scans of sheet music",7557,1,"Meertens collection: Liederenbank |7557|"
Text,"text","","",4417,1,"Meertens collection: Liederenbank |4417|"
TextCorpusProfile,"text;corpus","","",26,5,"HZSK: SFB 632 |3| # IMS, CLARIN-D Centre, University of Stuttgart |3| # Namescape: mapping the onymic landscape |1|"
TextProfile,"","not-applicable","",2,2,"Namescape: mapping the onymic landscape |1| # Taalportaal |1|"
ToolProfile,"tool service","","",3,2,"HZSK Tools |1| # IMS, CLARIN-D Centre, University of Stuttgart |2|"
ToolService,"tool service","","",1,1,"Meertens Collections: ToolService |1|"
ToponymProfile,"","not-applicable","",400,1,"Meertens Collection: Heiloo toponiemen |400|"
TreebankProfile,"corpus","","",1,1,"Hamburg Dependency Treebank |1|"
UserSubmission,"text","","",161,1,"Meertens collections: PILNAR |161|"
VALID,"","not-applicable","",1265,1,"CLARIN NL : VALID |1265|"
VK-book,"collection","","",19,1,"CLARIN Centres |19|"
VK-semantic,"collection","","",1,1,"CLARIN Centres |1|"
VirtualCollection,"collection","","",6,1,"CLARIN Virtual Collection Registry |6|"
WBD,"lexicalResource","","",1,1,"Dictionary of the Brabantic dialects |1|"
WebLichtWebService,"web service","","",223,4,"CLARIN Centres |8| # HZSK Webservices |4| # LINDAT / CLARIN Web Services |2|"
Website,"tool service","","",1,1,"Meertens collection: PILNAR |1|"
collection,"collection","","",3271,3,"ARCHE |1| # CLARIN Centres |587| # TalkBank |2683|"
corpusProfile,"text;corpus","","",7,3,"CLARINO Bergen Centre |1| # CLARINO NB – Språkbanken |5| # Clarino - Textlab |1|"
data,"","not-applicable","this is the very generic OLAC + META-SHARE profile used in D-Space. it can contain anything",58,4,"CLARINO Bergen Centre |2| # LINDAT / CLARIN Data & Tools |7| # LRT + Open Submissions Data & Tools |47|"
lat-SL-session,"video","","very few text (transricption?) files, but all records seem to have video resources",1533,5,"Sign Language : African Sign Languages |100| # Sign Language : Austrian Sign Language |7| # Sign Language : Corpus NGT |561|"
lat-corpus,"collection","","",14533,1,"CLARIN Centres |14533|"
lat-session,"audio;video;annotation","","",100773,365,"ANDES |231| # CLARIN Centres |4043| # CORP-ORAL |46|"
lexicalProfile,"lexicalResource","","",7,2,"CLARINO Bergen Centre |3| # CLARINO NB – Språkbanken |4|"
lucea,"audio","","each record features one (accessible!) wav file; non-existent metadata!",3824,1,"CLARIN NL : D-LUCEA |3824|"
media-corpus-profile,"corpus;audio","","",6,1,"Bavarian Archive for Speech Signals (BAS) |6|"
media-session-profile,"session","","",26930,3,"Bavarian Archive for Speech Signals (BAS) |26652| # Phonogrammarchiv der Universität Zürich |255| # TuniCo - Linguistic Dynamics in the Greater Tunis Area |23|"
resourceInfo,"","not-applicable","",196,2,"CLARIN Centres |113| # Center of Estonian Language Resources |83|"
talkbank-license-session,"audio;annotation;text;session","","",62910,1,"TalkBank |62910|"
teiHeader,"text","","",4593,4,"CLARIN-DK-UCPH Repository |14| # Deutsches Textarchiv (1600–1900) |3806| # Dingler Online |375|"
textCorpusProfile,"text;corpus","","",8,8,"CLARIN-DK-UCPH: DK-CLARIN LSP, Agriculture |1| # CLARIN-DK-UCPH: DK-CLARIN LSP, Construction |1| # CLARIN-DK-UCPH: DK-CLARIN LSP, Economics |1|"
wnd_subcollection_core_data,"lexicalResource","","",28,2,"Dictionary of the Brabantic dialects - subcollection with core data |14| # Dictionary of the Limburgian dialects - subcollection with core data |14|"
